,Version,Test,Dataset,Variable,Response Time (s)
26,3.10.5,hovmoller,giops_day,sspeed,6.8775
27,3.10.5,hovmoller,giops_day,magwatervel,7.4137
28,3.10.5,hovmoller,riops_fc_3dps,votemper,9.9218
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,9.6917
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,14.2058
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,15.513
32,3.10.5,area,giops_day,votemper,4.2397
33,3.10.5,area,giops_day,vosaline,4.1183
34,3.10.5,area,giops_day,sspeed,4.3497
35,3.10.5,area,giops_day,magwatervel,3.9749
37,3.10.5,area,riops_fc_3dps,votemper,8.1496
38,3.10.5,area,riops_fc_3dps,vosaline,8.583
39,3.10.5,area,riops_fc_3dps,sspeed,8.6697
40,3.10.5,area,riops_fc_3dps,magwatervel,7.8405
41,3.10.5,subset,giops_day,votemper,0.7567
42,3.10.5,subset,riops_fc_3dps,votemper,1.839
0,3.10.5,profile,giops_day,votemper,1.5825
1,3.10.5,profile,giops_day,vosaline,1.6389
2,3.10.5,profile,giops_day,sspeed,1.9346
3,3.10.5,profile,giops_day,magwatervel,1.9486
4,3.10.5,profile,riops_fc_3dps,votemper,2.5599
5,3.10.5,profile,riops_fc_3dps,vosaline,2.5481
6,3.10.5,profile,riops_fc_3dps,sspeed,3.3906
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.461
8,3.10.5,virtual mooring,giops_day,votemper,1.7466
9,3.10.5,virtual mooring,giops_day,vosaline,2.0275
10,3.10.5,virtual mooring,giops_day,sspeed,2.211
11,3.10.5,virtual mooring,giops_day,magwatervel,3.0272
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,4.5615
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,4.2012
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,9.8698
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,11.3638
16,3.10.5,transect,giops_day,votemper,8.6683
17,3.10.5,transect,giops_day,vosaline,8.7729
18,3.10.5,transect,giops_day,sspeed,8.5774
19,3.10.5,transect,giops_day,magwatervel,8.7507
20,3.10.5,transect,riops_fc_3dps,votemper,9.9474
21,3.10.5,transect,riops_fc_3dps,vosaline,9.842
22,3.10.5,transect,riops_fc_3dps,sspeed,11.2252
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.8492
24,3.10.5,hovmoller,giops_day,votemper,6.3556
25,3.10.5,hovmoller,giops_day,vosaline,6.3248
26,3.10.5,hovmoller,giops_day,sspeed,7.0095
27,3.10.5,hovmoller,giops_day,magwatervel,7.2273
28,3.10.5,hovmoller,riops_fc_3dps,votemper,10.9651
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,9.9377
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,16.3829
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,16.2659
32,3.10.5,area,giops_day,votemper,4.3208
33,3.10.5,area,giops_day,vosaline,4.3217
34,3.10.5,area,giops_day,sspeed,4.4233
35,3.10.5,area,giops_day,magwatervel,4.4459
37,3.10.5,area,riops_fc_3dps,votemper,8.5415
38,3.10.5,area,riops_fc_3dps,vosaline,8.4565
39,3.10.5,area,riops_fc_3dps,sspeed,9.1025
